ID,Sex,Trans,East,North
27,Female,0,69.99956311450026,9970.786459835266
29,Female,0,73.23438776016718,9969.059301335288
90,Female,0,73.43392366346531,9973.014184924641
97,Female,0,75.58529768914497,9976.936291477994
63.1,Female,0,79.93556300563924,9973.137870543253
84.1,Female,0,74.27997020979686,9979.11830609454
43,Female,0,75.51752430426114,9980.813462576121
42.1,Female,0,82.35449230575097,9976.87145574695
71,Female,0,82.33132975219785,9980.803747074195
4,Female,0,101.6138754227672,9967.141255618208
87.1,Female,0,97.04135055038816,9971.171154162295
21,Female,0,92.51567875467549,9967.19365466603
89.1,Female,0,92.51704032838805,9963.306069030663
120,Male,0,79.62633804902073,9963.89939530898
102,Super,0,76.59181285467983,9967.287984485387
28,Super,0,79.21254544749758,9967.189184138226
44.1,Super,0,77.79557828621904,9969.249098916245
41.1,Super,0,82.4558343692582,9973.083187364855
104,Super,0,83.50460342614667,9971.200429387176
75.1,Super,0,86.8382411891488,9973.106551877978
32.1,Super,0,85.70037909170293,9974.83417420786
13.1,Super,0,86.7918244930642,9980.804626834928
96.1,Super,0,90.51658231979766,9978.84490842483
33.1,Super,0,98.14463148869638,9973.12069160497
15.1,Super,0,94.81141777282016,9971.01545482065
123.1,Male,0,93.55482787383139,9961.135629087144
27,Female,0,70.73530913106882,9971.90559035507
29,Female,0,72.59865140598046,9969.192029828426
90,Female,0,74.44906265593896,9972.083938032432
97,Female,0,74.96027512686898,9979.074144566785
71,Female,0,83.21273538950634,9978.68825445434
32.1,Super,0,85.58883697895304,9974.955987181576
42.1,Female,0,81.03911731858778,9974.844042484581
41.1,Super,0,84.18425991348987,9973.19443362941
63.1,Female,0,79.85743934549303,9973.35939228669
75.1,Super,0,86.74905201890745,9973.040069020637
15.1,Super,0,89.99400327676058,9972.741906999263
32.1,Super,0,85.87877893698018,9974.900679135588
43,Female,0,76.59990668542275,9977.95567168575
27,Female,0,76.31014078763762,9977.146940947727
102,Super,0,80.03802374671662,9966.458373305966
120,Male,0,77.87374908674904,9968.916801802685
120,Male,0,76.99245876908331,9969.802716243394
29,Female,0,72.87739282520634,9969.413680332153
13.1,Super,0,88.4545392649661,9975.28900615856
90,Female,0,74.28180330720882,9971.995266293636
71,Female,0,83.34595790413063,9981.590399141067
33.1,Super,0,95.39178742430481,9969.110650528428
4,Female,0,95.39178742430481,9969.110650528428
27,Female,0,94.75613361782843,9969.45379417675
97,Female,0,78.30511934659636,9983.129189410267
21,Female,0,92.13593368545571,9969.176094694854
87.1,Female,0,97.05351000395359,9967.848585858352
84.1,Female,0,76.48844437389565,9977.700861936495
96.1,Super,0,84.78523494103551,9977.93538959234
102,Super,0,74.96419185730804,9965.60360860361
21,Female,0,94.15381006949785,9970.184596614426
44.1,Super,0,77.5948289593722,9969.293344198753
120,Male,0,78.30958361247433,9966.22514541044
28,Super,0,78.37621331546694,9967.033815391778
28,Super,0,78.38763484484225,9966.258404945538
84.1,Female,0,73.53296209285601,9978.198675194362
90,Female,0,76.33297521,9975.031127820423
27,Female,0,81.7446380554781,9965.25157777089
29,Female,0,75.06124875814584,9976.493055256997
27,Female,0,77.04662986502652,9975.341484414432
43,Female,0,73.95603810688685,9981.588597699334
96.1,Super,0,84.372293494203,9979.519258302833
43,Female,0,76.74437594380905,9980.281987605615
13.1,Super,0,86.81513073663152,9976.230085509087
15.1,Super,0,97.94416293115181,9972.290002493299
71,Female,0,83.4468729165694,9978.876610882744
71,Female,0,81.2161850670129,9980.7481405514
97,Female,0,78.46118511494761,9983.483691644906
97,Female,0,78.77347769198305,9983.262199381204
71,Female,0,83.10120452222024,9978.765767581493
43,Female,0,75.50653833698121,9980.004789748697
29,Female,0,72.8548718648834,9970.089430493696
90,Female,0,72.75343589312654,9973.667593164108
102,Super,0,75.78898719767598,9966.922146800367
90,Female,0,75.2406901522748,9972.726677679853
123.1,Male,0,91.53563041181583,9963.815194921217
102,Super,0,74.60609576144734,9969.1705264164
71,Female,0,82.82255968530144,9978.134326876463
123.1,Male,0,93.33083897676802,9963.749395833705
84.1,Female,0,75.72977617562661,9979.107546637992
13.1,Super,0,86.90430077474699,9976.3851763829025
13.1,Super,0,86.19096246831712,9975.077982617433
97,Female,0,78.03736823388742,9983.727321120412
179.1,Male,0,88.6258453797496,9962.507138059913
239.1,Super,0,84.74444938207982,9964.92035358897
237.1,Female,0,75.63281854713837,9967.032869268973
165.1,Super,0,80.91887393914978,9966.824222723706
181.1,Female,0,88.64654900604178,9966.959769544686
188.1,Super,0,99.00501019631926,9966.874607502587
138.1,Super,0,101.68087161373853,9966.831184813873
208.1,Female,0,82.04441878822487,9969.106456262845
260.1,Male,0,84.63151950436824,9969.107279881286
161.1,Male,0,100.36455036984175,9969.056803936526
141,Super,0,80.76129672865314,9971.365768973017
225.1,Male,0,71.73850093086163,9973.833482255644
230.1,Male,0,79.43357807288598,9973.702668904478
195,Female,0,80.76006358024857,9975.874137532193
227.1,Male,0,93.84008383154881,9975.799829245467
145,Female,0,87.27187001887255,9978.157477960674
212,Male,0,75.47301458915504,9980.326035535278
237.1,Female,0,71.5614516279354,9969.213847952264
212,Male,0,75.04997995992214,9976.969395005346
84.1,Female,0,73.01943406088988,9980.547086660417
212,Male,0,75.987049516692,9975.839703874344
120,Male,0,76.24533269729513,9969.60308328889
28,Super,0,83.67292963189522,9967.833150076702
237.1,Female,0,77.16038216579031,9967.830976120256
44.1,Super,0,76.42400570650433,9968.860942672296
102,Super,0,74.31605645702408,9969.41414435732
179.1,Male,0,87.89038297306024,9961.266315671231
89.1,Female,0,85.99170442694589,9969.894140729331
181.1,Female,0,89.27038815464219,9968.787536767593
15.1,Super,0,89.27038815464219,9968.787536767593
181.1,Female,0,89.41572884579836,9967.602441139099
87.1,Female,0,96.88730981328158,9964.736384990609
188.1,Super,0,97.9543878155785,9975.878350392804
138.1,Super,0,101.30157887652732,9967.50662197708
161.1,Male,0,100.94425237328343,9969.267402552307
21,Female,0,93.36211489425274,9970.306191565931
15.1,Super,0,87.6535354641109,9968.787023086043
33.1,Super,0,87.90983236891398,9969.32984139811
260.1,Male,0,88.71159427080019,9973.051684692513
227.1,Male,0,88.49876714389445,9976.828608039788
225.1,Male,0,76.64696820444264,9969.104721464593
181.1,Female,0,91.60157387552644,9966.53987718108
212,Male,0,71.94045210156014,9969.801110716957
84.1,Female,0,72.94151195427345,9979.849157983037
230.1,Male,0,79.53394406919315,9973.702696354037
104,Super,0,84.10672889774456,9971.344604870506
32.1,Super,0,86.20211348309572,9975.077985461669
145,Female,0,87.31593445528206,9980.727195308635
96.1,Super,0,83.0121863931857,9977.901756535732
188.1,Super,0,95.91379629721295,9976.619909050927
225.1,Male,0,76.68016278505878,9969.92447054565
33.1,Super,0,88.8578992112297,9968.5215782286
181.1,Female,0,88.8578992112297,9968.5215782286
96.1,Super,0,82.48810733005655,9977.73548390105
188.1,Super,0,96.53819038069307,9976.620054846631
63.1,Female,0,93.57475728441304,9967.769936911367
15.1,Super,0,93.57475728441304,9967.769936911367
239.1,Super,0,85.38034589109284,9964.13414763139
8.2,Female,1,77.11188053898357,9982.962816770205
41.1,Super,0,82.29970807493862,9973.10529775335
42.1,Female,0,81.1171929748386,9974.78867767226
195,Female,0,80.82656442666631,9977.568945167557
15.1,Super,0,94.16505679349758,9969.863408763425
181.2,Female,1,86.15619260337222,9980.926343067802
260.1,Male,0,88.29949986314186,9971.345834460208
96.1,Super,0,84.149463781961245,9978.610923211845
4,Female,0,76.23365902896406,9971.286874285292
32.1,Super,0,85.254441940411,9974.424226435867
13.1,Super,0,85.57792032768234,9974.058786000498
44.1,Super,0,75.67712102335459,9967.930175225314
212,Male,0,71.7174882365637,9969.524086317164
33.1,Super,0,87.95427072243585,9969.861515533064
75.1,Super,0,85.8463896067944,9971.057127738772
89.1,Female,0,93.80990715850844,9964.823903609902
161.1,Male,0,100.9665577262179,9969.245259699486
138.1,Super,0,101.747230808541,9968.51456463818
141,Super,0,81.63118772096618,9971.133410518434
230.1,Male,0,79.62315820019634,9973.702720748111
